0,61,0.0405
0,65,0.0293
1,60,0.266
1,61,0.271
1,62,0.27
1,63,0.305
1,64,0.227
1,65,0.293
1,66,0.312
1,67,0.39
1,68,0.398
1,70,0.319
2,54,0.478
2,58,0.311
2,59,0.243
2,60,0.274
2,61,0.238
2,62,0.213
2,63,0.215
2,64,0.224
2,65,0.275
2,66,0.248
3,63,0.194
3,64,0.348
5,57,0.293
5,58,0.26
5,59,0.237
5,61,0.188
5,62,0.212
5,63,0.194
5,64,0.187
5,65,0.183
5,66,0.194
5,67,0.188
5,70,0.226
6,67,0.37
6,68,0.32
6,69,0.363
7,32,0.13
7,33,0.125
7,34,0.114
7,35,0.138
7,36,0.183
7,37,0.168
7,38,0.152
7,39,0.15
7,40,0.149
7,41,0.134
7,42,0.112
7,43,0.13
7,44,0.175
7,45,0.193
7,46,0.185
7,47,0.169
7,48,0.152
7,49,0.157
7,50,0.159
7,51,0.145
7,52,0.131
7,53,0.121
7,54,0.135
7,55,0.128
7,56,0.12
7,57,0.114
7,58,0.106
7,59,0.1
7,60,0.0937
7,61,0.0882
7,62,0.115
7,63,0.116
7,64,0.114
7,65,0.117
7,66,0.122
7,67,0.133
7,68,0.131
7,69,0.126
7,70,0.126
8,47,0.0496
8,48,0.0591
8,49,0.0685
8,50,0.0757
8,51,0.075
8,52,0.0593
8,53,0.063
8,54,0.0603
8,55,0.0716
8,56,0.0745
8,57,0.121
8,58,0.11
8,59,0.0979
8,60,0.0943
8,61,0.0851
8,62,0.107
8,63,0.0947
8,64,0.0894
8,65,0.094
8,66,0.0967
8,67,0.103
8,68,0.106
8,69,0.112
8,70,0.098
9,60,0.14
9,61,0.144
9,62,0.139
9,63,0.149
9,64,0.147
9,65,0.142
9,66,0.138
9,67,0.135
9,68,0.134
9,69,0.131
9,70,0.129
10,51,0.157
10,56,0.241
10,58,0.202
10,60,0.189
10,61,0.171
10,62,0.262
10,64,0.275
11,63,0.0503
12,39,0.022
12,42,0.0254
12,49,0.0702
12,53,0.107
12,56,0.0663
12,58,0.0927
12,59,0.076
12,63,0.0636
12,66,0.0988
12,69,0.114
12,70,0.128
13,36,0.306
13,39,0.354
13,40,0.365
13,41,0.325
13,42,0.255
13,43,0.307
13,44,0.335
13,45,0.422
13,48,0.378
13,50,0.3
13,56,0.262
13,62,0.244
13,63,0.261
13,66,0.296
13,67,0.338
13,68,0.324
13,69,0.296
14,69,0.107
14,70,0.0932
15,36,0.239
15,37,0.252
15,38,0.235
15,39,0.211
15,40,0.214
15,41,0.181
15,42,0.155
15,43,0.145
15,44,0.14
15,45,0.132
15,46,0.185
15,47,0.218
15,48,0.215
15,49,0.205
15,50,0.213
15,51,0.204
15,52,0.226
15,53,0.152
15,54,0.153
15,55,0.157
15,56,0.19
15,57,0.175
15,58,0.215
15,59,0.205
15,60,0.188
15,61,0.18
15,62,0.219
15,63,0.224
15,64,0.187
15,65,0.198
15,66,0.237
15,67,0.232
15,68,0.221
15,69,0.201
15,70,0.193
16,65,0.25
16,68,0.189
16,69,0.177
16,70,0.193
17,63,0.0238
17,64,0.0563
18,62,0.129
18,63,0.0921
18,64,0.0935
18,65,0.0728
18,66,0.0955
18,67,0.0939
18,68,0.107
19,48,0.0606
20,59,0.623
20,60,0.584
20,61,0.475
20,62,0.487
20,63,0.577
20,64,0.579
20,65,0.631
20,67,0.627
20,68,0.623
20,69,0.543
20,70,0.458
21,38,0.378
21,49,0.379
21,59,0.326
22,65,0.161
22,66,0.16
22,67,0.158
22,68,0.199
22,69,0.272
22,70,0.292
23,67,0.254
23,70,0.289
24,53,0.333
24,54,0.393
24,55,0.356
24,56,0.271
24,57,0.245
24,58,0.223
24,59,0.195
24,60,0.151
24,61,0.127
24,62,0.162
24,63,0.219
24,64,0.25
24,65,0.281
24,66,0.284
24,67,0.238
24,68,0.216
24,69,0.172
24,70,0.129
25,67,0.0869
26,67,0.0294
27,65,0.0158
28,63,0.0638
29,29,0.124
29,30,0.138
29,31,0.14
29,32,0.127
29,33,0.128
29,34,0.128
29,35,0.182
29,36,0.192
29,37,0.174
29,38,0.158
29,39,0.147
29,40,0.132
29,41,0.115
29,42,0.109
29,43,0.123
29,44,0.158
29,45,0.172
29,46,0.172
29,47,0.159
29,48,0.148
29,49,0.154
29,50,0.163
29,51,0.151
29,52,0.141
29,53,0.127
29,54,0.129
29,55,0.136
29,56,0.136
29,57,0.135
29,58,0.124
29,59,0.117
29,60,0.112
29,61,0.116
29,62,0.154
29,63,0.149
29,64,0.143
29,65,0.144
29,66,0.137
