2073,273,1070,107
2074,274,1070,107
2075,275,1070,107.5
2076,276,1070,107.5
2077,277,1070,107.5
2078,278,1070,107.5
2079,279,1070,107.5
2080,280,1080,108
2081,281,1080,108
2082,282,1080,108
2083,283,1080,108
2084,284,1080,108
2085,285,1080,107.5
2086,286,1080,108.5
2087,287,1080,108.5
2088,288,1080,108.5
2089,289,1080,108.5
2090,290,1090,109
2091,291,1090,109
2092,292,1090,109
2093,293,1090,109
2094,294,1090,109
2095,295,1090,109.5
2096,296,1090,109.5
2097,297,1090,109.5
2098,298,1090,109.5
2099,299,1090,109.5
2100,300,1100,110
