country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,0.212,,0.216,,0.209,,0.159,,,0.238,,,0.178,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0719,0.0699,0.0667,0.0844,0.116,0.128
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0697,,,0.0932
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,0.199,0.181,0.137,0.12,0.101,0.0895,0.0688,0.0561,0.0682,0.103,0.113,0.123,0.129,0.114,0.0914,0.0757,0.0616
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0157,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0245,0.0164,,,0.0753,,,,,,,,0.0128,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0411,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,0.047,0.059,0.064,0.063,0.056,0.054,0.069,0.0709,0.0805,0.0838,0.0753,0.0754,0.0761,0.11,0.12,0.113,0.105,0.0959,0.0882,0.0776,0.0755,0.0813,0.103,0.112,0.114,0.104,0.0949,0.0962,0.091,0.0828,0.0758,0.0683,0.0722,0.0766,0.0757,0.0719,0.0676,0.0632,0.0604,0.0614,0.0834,0.0806,0.0751,0.0729,0.0707,0.0691,0.0691,0.07,0.0634
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365,,0.122
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.128,0.118,0.143,0.136,0.105,0.113,0.196,0.147,0.139,,0.0871,,0.0623,0.0529,0.0563,0.0523,0.0435,0.0449,0.0587,0.047,0.0741,0.0714,0.0731,0.112,0.105,0.104,0.102,0.0977,0.102,0.0934,0.0902,0.0843,0.0929,0.113,0.0842,0.0734,0.0666,0.0621,0.0666,0.0651,0.0674,0.0696
