country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.0263,0.0296,0.0264,0.0247,0.02,0.0159,0.0161,0.0148,0.0203,0.0233,0.0348,0.0292,0.0329,0.0253,0.0276,0.0239,0.0235,0.0181,0.0262,0.0367,0.0511,0.0449,0.0473,0.0407,0.0506,0.0512,0.0436,0.049,0.0514,0.0585,0.0585,0.0667,0.0629,0.0552
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00599,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0595,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.038,0.0584,0.0692,0.0829,0.0733,0.0726,0.0573,0.045,,0.0371,0.0411,,0.0315,0.0252,0.0245,0.032,0.0343,0.03,0.0353,0.0348,0.0361,0.0354,0.0353,0.0332,0.0323,0.0334,0.0369,0.0325,0.0305,0.0304,0.0311,0.0288,0.031,0.0344,0.0341
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0612,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,,,0.0807,,,,0.0638,0.0773,0.0973,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,0.0711,0.069,0.0749,0.0732,0.0692,0.068,0.0647,0.0598,0.0689,0.0685,0.0638,0.0631,0.0639,0.058,0.0539,0.047,0.0457
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0986,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0959,,,,,,0.0914,0.082,0.059,0.0834,0.0952,0.0904,0.0848,0.0717,0.0726,0.0765,0.0745,0.0747,0.0732,0.0747,0.0741,0.0681,0.0675
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,,,0.0305,0.031,0.0321,0.0425,0.0689,0.0525,0.0405,0.0357,0.0249,0.0256,0.0254,0.03,0.0346,0.0394,0.0356,0.0357,0.0363,0.0387,0.0536,0.053,0.0517,0.0489,0.0491,0.0481,0.0431,0.0386,0.0342
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.0846,0.0729,0.068,0.0795,0.0817,0.0729,0.0738,0.0507,0.0398,0.064,0.0745,0.0668,0.0558,0.051,0.0386,0.0369,0.0418,0.041
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,0.0633,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,0.072,0.0556,0.0586,0.0655,0.0477,0.039,0.0423,0.048,0.0486,0.0724,0.0636
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,,0.194,0.171,0.191,0.196,0.197,0.2,0.195,0.18,0.175,0.177,0.161
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.139,0.163,0.158,0.17,0.157,0.157,,0.229,0.178,0.167,0.191,0.139,0.136,0.125,0.116,0.119,0.108,0.11,0.0967,0.0956,0.0957,0.0896,0.0909,0.0891,0.0899,0.0923,0.097,0.0946,0.093,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00766,,0.0155
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,0.244,,,0.203,,,,0.221,,,,,,,,0.168,0.19,0.185,,0.234,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,,,,,,,,,0.23,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,0.0185,,,,,,,,,0.0134,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,0.105,,0.099,0.0937,0.087,0.0767,0.0728,0.0556,0.0629,0.0716,0.0716,0.0642,0.0551,0.0439,0.0362,0.0273,0.0212,0.0255,0.0359,0.0465,0.0472,0.039,0.0318,0.0275,0.0341,0.0445,0.0498,0.0582,0.0724,0.0742,0.0687,0.0601,0.0484
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0419,0.0421,0.0577,0.0731,0.0798,0.106,0.107,0.098,0.0835,0.0646,0.0629,0.0686,0.0772,0.0702,0.0613,0.0543,0.0528,0.0475,0.04,0.0381,0.0386,0.0366,0.0417,0.0612,0.0656,0.0649,0.0693,0.0626,0.0575,0.0537,0.051,0.047
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.0641,0.0537,0.0531,0.0489,0.062,0.0816,0.0783,,0.0521,0.0528,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0456,0.0431,0.0706,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,0.372,0.36,0.349,0.338,0.322,0.32,0.314,0.31,0.29,0.28,0.261,0.237,0.224
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0526,0.0541,0.0591,0.0596,0.0535,0.0631,0.0504,0.0469,0.0374,0.0325,0.0346,0.0374,0.0402,0.0422,0.0426,0.0438,0.034,0.0249,0.0255,0.031,0.0352,0.0321,0.0312,0.0342,0.0348,0.043,0.0468,0.0416
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0414,,,,,,,,0.0327,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,0.0209,0.0215,0.02,0.0167,0.017,0.019,0.019,0.0418,0.0412,0.0401,0.0382,0.0382,0.043,0.0416,0.0397,0.0397,0.0305,0.0216,0.0203,0.0197,0.0585,0.0518,0.0428,0.0426,0.0503,0.0479,0.0581,0.057,0.0535,0.0716,0.0688,0.0783,0.0749,0.074,0.0705,0.00582,0.00398,0.00423,0.00535,0.00653,0.00796,,0.0295,0.0183,0.0357,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0776,,,,,0.0703,,,,,0.033,,,,,0.0418,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,,,,0.135,0.253,0.312,0.255,0.268,0.235,0.237,0.217,0.266,0.245,0.237,0.209,0.23,0.234,0.269,0.258,0.269,0.274
Panama,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.076,0.0679,0.0699,0.058,0.0641,0.0667,0.0873,0.0806,0.0878,,,0.0841,0.0971,0.101,0.123,0.105,0.118,0.163,0.163,,0.161,0.147,0.133,0.14,0.14,0.143,0.134,0.14,0.118,0.135,0.147,0.141,0.136,0.124,0.103,0.0911,0.0678,,0.0656,0.0371,0.0231,0.0239,0.023,0.0272,0.03,0.0331,0.039
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0569,0.0411,,0.0561,0.0825,0.0733,0.0513,0.061,0.0551,0.0472,0.0562,0.058,0.051,0.0498,0.0506,0.0441,0.034,0.0815,0.0536,,0.094,0.0761,,0.0939,0.0681,0.0651,0.0482,0.0528,0.0471,0.0442,0.0546,0.0457,0.0467,0.0409,0.0438,0.0503,0.0456,0.0525,0.0461
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,,0.058,0.0479,0.049,0.0486,0.0426,0.0419,0.0406,0.039,0.0348,0.0344,0.0311,0.0324,0.0296,0.03,0.0353,0.0346
Philippines,,,,,,,,,,,,,,,,,,,,,,,0.067,,0.0528,0.0536,0.0477,0.0321,0.0383,0.048,0.0447,0.04,0.035,0.0475,0.0536,0.055,0.0489,0.0703,0.0607,0.0643,0.091,0.0834,0.0842,0.0813,0.106,0.0987,0.0929,0.0948,0.0953,0.0856,0.0878,0.103,0.0981,0.112,0.037,0.115,0.0353,0.0355,0.038,0.0405,0.0343,0.0372,0.0386,0.0361,0.0359,0.035,0.035,0.036,,0.0271,0.0255
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.14,0.144,0.133,0.124,0.11,0.0994,0.123,0.163,0.184,0.199,0.194,0.191,0.177,0.138,0.096,0.0712,0.0817,0.0964,0.0963,0.101,0.103,0.0899,0.075,0.0616,0.0489
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.0738,0.0601,0.0513,0.0464,0.0392,0.0398,0.053,0.0671,0.0706,0.073,0.0657,0.0465,0.0458,0.0381,0.0383,0.045,0.0613,0.0632,0.0758,0.0765,0.0796,0.0755,0.0943,0.108,0.127,0.155,0.162,0.139,0.124,0.111,0.0887
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0087,0.0052,0.0031,0.0031,,0.0056,0.0048,0.0027,0.0019,0.0016,0.0014,0.0014
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0551,0.0563,0.0624,0.0697,0.0656,0.0811,0.0695,0.0772,0.0717,0.0727,0.0641,0.0579,0.0686,0.0696,0.0718,0.0679,0.071,0.068,0.0681,0.059,0.0493
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0518,0.0588,0.0813,0.0945,0.0966,0.118,0.133,0.13,0.106,0.0898,0.0788,0.0821,0.0776,0.0712,0.0705,0.06,0.0621,0.083,0.0737,0.0654,0.0544,0.0546,0.0516,0.0557,0.0556,0.0521
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,0.0056,,,,,,,,,,,,,,,,,,,,,0.174
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0875,,0.0872,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.058,,,,0.072,0.069,0.069,0.062,0.06,0.053,0.055,0.043,0.042,0.051,0.039,0.039,0.051,0.044,0.041,0.03,0.028,,,,,0.0211,0.0163,,,0.0402,0.0437,0.0506,0.0519,0.0608,0.0661,0.0738,0.0645,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.0457,0.0462,0.0527,0.0556,0.0582,0.0605,0.0625,0.0573,0.0508,0.0538,0.0555,0.0577,0.0552,0.0557,0.0572,0.0559,0.0565,0.0589
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0676,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.132,0.138,0.137,0.137,0.126,0.128,0.138,0.152,0.185,0.209,0.209,0.181,0.137,0.161,0.192,0.23,0.24,0.222,0.192,0.179,0.153,0.135
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,0.0411,,,0.0384,0.0415,0.0396,0.0371
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0468,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,0.0606,0.048,0.047,0.0451,0.0397,0.0455,0.0448,0.0393,0.0226,0.0212,0.018,0.0165,0.015,0.0169,0.0269,0.0427,0.0684,0.05,0.0355,0.0235,,0.0218,0.0309,0.0307,0.0303,0.033,0.0357,0.025,0.0341,0.0485,0.037,0.0376,0.0565,0.0593,0.0584,0.0559,0.0448,0.039,0.0396,0.0586,0.0412,0.0389,0.0372,0.0386,0.0374,0.0379,0.0408,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,0.131,0.113,0.119,0.122,0.159,0.191,0.194,0.187,0.171,0.186,0.163,0.134,0.111,0.0951,0.12,0.144,0.136,0.14,0.142,0.132,0.115,0.0967,0.0813
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0691,0.0665,0.0739,0.0732,0.0692,0.0568,0.0592,0.0648,0.0601,0.0651,0.0595,0.0482,0.0437,0.0586,0.0724,0.0817,0.0884,0.101,0.0967,0.0896,0.08,0.0656
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0202,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.254,0.302,0.309,0.335,0.325,0.296,0.293,0.285,0.267,0.224,0.235,0.247,0.247,0.247,0.246,0.249,0.252,0.266,0.273
South Korea,,,,,,,,,,,,,,,,,,,,,,,0.0486,0.0451,0.0457,0.0459,0.0404,0.0415,0.0418,0.0381,0.0381,0.0317,0.0381,0.052,0.0451,0.0436,0.0407,0.038,0.0398,0.0381,0.0309,0.0252,0.0257,0.0245,0.0241,0.0251,0.0288,0.0248,0.0206,0.0205,0.0261,0.0696,0.0634,0.044,0.04,0.033,0.036,0.037,0.037,0.035,0.032,0.032,0.036,0.037,0.034,0.032,0.031,0.035,0.036,0.037,0.037
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,0.206,0.199,0.173,0.163,0.159,0.177,0.222,0.242,0.227,0.221,0.207,0.187,0.155,0.138,0.103,0.111,0.113,0.111,0.0915,0.0845,0.0823,0.113,0.179,0.199,0.214,0.248,0.261,0.244,0.221,0.196,0.172
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,0.147,0.142,0.138,0.13,0.123,0.113,0.106,0.0917,0.0888,0.0774,0.079,0.0876,0.0822,0.0838,0.0767,0.065,0.0597,0.0522,0.0585,0.0494,0.0411,0.0388,0.0444,0.044,0.0467,0.0437,0.0418
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0983,,,,,,,,,,,0.0514,,,,,,,,,,0.0512,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.158,0.163,0.205,0.216,0.181,0.165,,0.204,0.222,0.21,0.187,0.16,0.14,0.127,0.154,,0.189,0.191,0.222,,0.241,0.213,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,,,0.198,,,,,,,,,,0.211,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0872,0.0715,0.0754,0.081,0.066,0.0694,0.0722,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183,0.0324,0.0572,0.0933,0.0958,0.089,0.0955,0.104,0.0894,0.0761,0.0547,0.0473,0.0497,0.0555,0.0669,0.0749,0.0707,0.0616,0.0623,0.0835,0.0861,0.078,0.0798,0.0805,0.0795,0.0743,0.0699,0.0672
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0178,0.0281,0.0372,0.0388,0.0333,0.0371,0.042,0.036,0.0315,0.0267,0.0249,0.0292,0.0412,0.0432,0.0444,0.04,0.0365,0.0335,0.0412,0.0481,0.0441,0.0448,0.0475,0.0483,0.048,0.0492,0.048
Syria,,,,,,,,,,,,,,,,,,,,,,,0.043,0.064,0.075,0.047,0.045,0.051,0.0481,0.062,0.05,0.045,0.038,,,,0.0424,0.047,,,,,0.0578,,0.0675,,0.074,0.075,0.072,,,,0.076,,0.116,0.117,0.103,,,0.0817,0.0842,0.109,0.0814,0.0861,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,,,,0.0299,,,,,0.033,,,0.025,,,,,0.0212,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.0051,0.0043,0.0047,0.0045,0.006,0.009,0.0075,0.0092,0.0093,0.0126,0.0266,0.029,0.029,0.0493,0.035,0.0577,0.0304,0.0139,0.0221,0.0263,0.0135,0.0149,0.0135,0.011,0.0107,0.00873,0.034,0.0297,0.0239,0.026,0.0182,0.0154,0.0151,0.0135,0.0122,0.0118,0.0118,0.0149,0.00622,0.0066,0.0058,0.00489,0.00576,0.00597,0.00688,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,0.11,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198,,,,0.022,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416,,,0.013,,,,,,,,,,0.0518,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,0.132,0.128,0.13,,0.154,0.152,0.15,,0.0898,0.0727,0.0675,0.0603,0.0631,0.0622,0.0661,0.0817,0.0931,0.0937,0.221,0.219,0.219,0.199,0.185,0.197,0.198,0.184,0.172,0.163,0.15,0.142,0.131,0.121,0.109,0.104,0.105,0.0833,0.0795,0.0627,0.0554,0.0463,0.0528,0.0377,0.0325,0.0345,0.0246,0.0222,0.0221,0.0297,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,0.159,,0.152,0.149,0.144,0.146,0.145,0.142,0.129,0.125,0.124,0.124,0.133,0.13,0.183,0.176,0.159,,0.152,0.155,0.154
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,0.0821,0.0851,0.0896,0.0858,0.0764,0.0663,0.0684,0.0689,0.0769,0.065,0.0838,0.104,0.105,0.108,0.106,0.0872,0.0887,0.0971,0.126,0.107,0.088,0.0815,0.0873,0.0988,0.102,0.108,0.108
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0653,,0.163,0.065,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0562,0.0765,0.0893,0.113,0.119,0.117,0.111,0.101,0.0906,0.0859,0.0718,0.0681,0.0635,0.0636,0.0884,0.081,0.0786,0.0753,0.0717,0.0927,0.0914,0.0935,0.0951
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164,0.0246
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.109,0.115,0.115,0.11,0.0901,0.0741,0.0697,0.0855,0.0978,0.103,0.0965,0.0869,0.0819,0.0707,0.062,0.0604,0.0556,0.047,0.0504,0.0481,0.0459,0.0475,0.0535,0.0526,0.0562,0.0754,0.0779,0.0804,0.0789,0.0753,0.0611,0.053,0.0481,0.0433
United States,0.039,0.038,0.059,0.053,0.033,0.03,0.029,0.055,0.044,0.041,0.043,0.068,0.055,0.055,0.067,0.055,0.057,0.052,0.045,0.038,0.038,0.036,0.035,0.049,0.059,0.056,0.049,0.056,0.085,0.077,0.071,0.061,0.058,0.071,0.076,0.097,0.096,0.075,0.072,0.07,0.062,0.055,0.053,0.056,0.068,0.075,0.069,0.0612,0.0565,0.0545,0.05,0.0451,0.0422,0.0399,0.0473,0.0578,0.0599,0.0553,0.0508,0.0462,0.0462,0.0578,0.0925,0.0963,0.0895,0.0807,0.0737,0.0617,0.0528,0.0487,0.0436
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.076,0.077,0.089,0.081,,,,,,0.073,0.066,0.117,,0.0994,,0.107,0.091,,,0.0853,0.0895,0.0896,0.0835,0.0904,0.1,0.119,0.114,0.0978,0.113,0.133,0.149,0.169,0.164,0.13,0.12,0.108,0.094,0.0803,0.0774,0.0716,0.0631,0.0645,0.0644,0.0655,0.0749,0.0784,0.0789
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499,0.0489,0.0504,0.0536,0.0496,0.0487,0.0486,0.0509,0.0515,0.0516,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0546,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0701,0.0634,0.0511,0.0498,0.0581,0.0589,0.07,0.0805,0.115,0.129,0.132,0.109,0.091,0.0728,0.0974,,,,,0.0856,0.102,0.118,,,,,,0.162,0.168,,0.107,0.0861,0.0728,0.0625,0.061,0.0711,0.069,0.066,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193,0.0287,0.0229,0.0233,0.0226,0.0276,0.0212,0.0225,0.0214,,,0.0203,0.0238,0.0174,0.0111,0.00999,0.0103,0.0125,0.0126,0.0186,0.0185,0.0189
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,0.135,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,0.159,,,0.0793,,,,0.0785,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0718,,,,,,,0.0496,,,0.0693,,0.06,,,,,0.0439,,,,,,,0.0537,,,0.113,,,
