country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,,,,,,,,,,,,,,,0.0121,,0.0251
Chad,,,,,,,,,,,,,,,,,,,,,,,,0.444,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.0284,,0.0253,,0.0244,,0.0386,0.0416,0.0385,0.0366,0.0382,0.0348,0.0348,0.0331,0.034,0.0324,0.03,0.0283,0.0265,0.0249,0.0455,0.0504,0.0501,0.0481,0.0439,0.0434,0.0435,0.0429
Colombia,,,,,,,,,,,,,,,,,,,,,,,0.0244,0.0211,0.0216,0.017,0.0168,0.0183,0.0159,0.0247,0.0159,0.0722,0.0787,0.0923,0.0828,0.0793,0.0394,0.0617,0.0632,0.0728,0.07,0.0696,0.0739,0.0691,0.0664,0.0637,0.0572,0.0591
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451,,,,,,,0.311,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0622,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,0.0384,0.0487,0.037,0.0624,0.0492,0.0379,0.0423,0.0374,0.0496,0.0386,0.041,0.0397,0.0422,0.0334,0.0355,,0.0361,0.0353,0.0346,0.032,0.0276,0.0262,0.0233,0.0286,0.0298,0.0331,0.0412,0.037,0.0401,0.0363,0.0319
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,0.233,,,0.214,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,0.115,0.1,0.0896,0.0824,0.0776,0.076,0.0664,0.0524,0.0401,0.0361,0.0372,0.036,0.0387,0.043,0.0477,0.0379,0.0244,0.023,0.0282,0.0203,0.0163
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0002,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0664,0.0617,0.0613,0.065,0.0619,0.0478,0.0356,0.0271,0.0301,0.0343,0.028,0.0233,0.0232,0.0213,0.0215,0.0143,0.0134,0.0086
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.0042,0.0065,0.0083,0.0078,0.0064,0.0081,0.0098,0.0099,0.0116,0.0118,0.0126,0.011,0.0125,0.0127,0.0107,0.0103,0.0098,0.0105,0.0097,0.01,0.0159,0.0107,0.0105,0.0093,0.0084
Denmark,,,,,,,,,,,,,,0.0665,0.0557,0.0529,0.047,0.0483,0.0451,0.0397,0.04,0.0382,0.0365,0.0361,0.029,0.0228,0.0182,0.0216,0.0243,0.0192,0.0182,0.0147,0.0145,0.013,0.015,0.0139,0.012,0.008,0.0052,0.0052,0.0047,0.0037,0.0038,0.0025,0.0025,0.0034,0.0086,0.0047
Dominica,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,0.0335,,0.0187,,0.0198,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,0.0367,0.0389,0.0439,0.0449,0.04,0.0275,0.0287,0.03,0.0279,0.0213,0.0202,0.0178,0.0175,0.0174,0.0422,0.029,0.029,0.0551,0.0284,0.0283,0.0267,0.0227,0.0199,0.0238,0.0338,0.0341,0.0279
Ecuador,,,,,,,,,,,,,,,,,,,0.0702,0.0816,0.113,0.104,0.116,0.106,0.11,0.125,0.109,0.0878,0.108,0.0991,0.186,0.213,0.0864,0.15,0.194,0.164,0.195,0.176,0.176,0.179,0.158,0.16,0.168,0.163,0.144,0.171,0.194,0.204
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.328,0.335,0.298,,0.3,0.233,0.22,0.26,0.17,0.195,0.258,0.321,0.315,0.326,0.339,0.347,0.332,0.293,0.301,0.275,0.346,0.367,0.399,0.234,0.263
