country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,0.182,,0.179,0.193,,,0.0862,,,,0.192,,0.296,,0.415,,,,,
Cameroon,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,0.226,,,,,,0.285,,,,,,,0.383,,,
Canada,0.61,0.616,0.624,0.624,0.627,0.646,,,,,,,,,,,,0.705,0.705,0.706,0.713,0.726,0.734,0.74,0.74,0.739,0.741,0.739,0.739,0.741,0.742,0.748,0.747,0.749,0.749,0.752,0.758,0.763,0.766,0.778,0.78,0.779,0.778,0.779,0.781,0.784,0.785,0.79
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,0.645
Chad,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,0.526,0.575,0.573,0.585,0.589,0.598,0.607,0.654,0.66,0.637,0.596,0.582,0.56,0.548,0.541,0.555,0.546,0.555,0.562,0.577,0.582,0.58,0.583,0.6,0.621,0.622,0.625,0.626,0.63,0.63,0.639,0.639,0.643,0.647,0.331,0.664,0.664,0.662,0.667,0.671,0.673,0.675,0.68
China,0.0901,,,,,0.0933,,,0.122,0.126,0.131,0.136,0.134,0.142,0.161,0.168,0.172,0.178,0.183,0.183,0.185,0.189,0.198,0.212,0.23,0.248,0.26,0.264,0.267,0.269,0.275,0.277,0.286,0.293,0.306,0.314,0.322,0.324,0.332,0.341,0.346,0.357,0.361,0.385,0.406,0.424,0.435,0.449
Colombia,,,,,,0.666,0.655,0.66,0.65,0.657,0.646,,,,,0.692,0.695,0.686,0.686,0.688,0.677,0.68,0.674,0.351,0.672,0.674,0.689,0.711,0.723,0.745,0.733,0.594,,,,,,,,0.615,0.616,0.615,0.619,0.638,0.64,0.642,0.646,0.64
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,0.483,0.494,0.483,0.496,0.505,0.51,0.493,0.464,0.471,0.466,0.475,0.473,0.489,0.505,0.516,0.535,0.541,0.551,0.561,0.565,0.566,0.607,0.613,0.622,0.629,0.629,0.64,0.643,0.657,,0.674,0.695,0.713,0.735,0.71,0.684,0.69,0.685
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516,0.43,,,0.442,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.509,0.527,,,,0.529,0.546,0.528,0.534,0.54,0.564,0.57,0.563,0.577,0.583,0.574,0.598,0.615,0.634,0.64,0.653,0.665
Cuba,,,,,,,,,,,,,,,,,,,,,,0.458,0.458,0.466,0.489,0.52,0.52,0.52,0.572,0.538,0.538,0.581,0.581,0.581,0.595,0.606,0.619,0.632,0.633,0.634,0.639,0.632,0.615,0.642,0.642,,,
